,,Neutral,,,,,Rotation up,,,,,Rotation down,,,,
,x [mm],V_z [kN],V_y[kN],M_z [kNm],M_y [kNm],T [kNm],V_z [kN],V_y[kN],M_z [kNm],M_y [kNm],T [kNm],V_z [kN],V_y[kN],M_z [kNm],M_y [kNm],T [kNm]
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,15.3,0,-0.069309,0,-0.000530214,-0.001680743,0.030383066,-0.062294517,0.00023243,0.00023243,-0.001510642,-0.030383066,-0.062294517,-0.00023243,-0.000476553,-0.001510642
2,30.6,0,-0.138618,0,-0.002120855,-0.003361487,0.060766132,-0.124589033,0.000929722,0.000929722,-0.003021284,-0.060766132,-0.124589033,-0.000929722,-0.001906212,-0.003021284
3,45.9,0,-0.207927,0,-0.004771925,-0.00504223,0.091149197,-0.18688355,0.002091874,0.002091874,-0.004531926,-0.091149197,-0.18688355,-0.002091874,-0.004288977,-0.004531926
4,61.2,0,-0.277236,0,-0.008483422,-0.006722973,0.121532263,-0.249178066,0.003718887,0.003718887,-0.006042568,-0.121532263,-0.249178066,-0.003718887,-0.007624849,-0.006042568
5,76.5,0,-0.346545,0,-0.013255346,-0.008403716,0.151915329,-0.311472583,0.005810761,0.005810761,-0.00755321,-0.151915329,-0.311472583,-0.005810761,-0.011913826,-0.00755321
6,91.8,0,-0.415854,0,-0.019087699,-0.01008446,0.182298395,-0.373767099,0.008367496,0.008367496,-0.009063852,-0.182298395,-0.373767099,-0.008367496,-0.01715591,-0.009063852
7,107.1,0,-0.485163,0,-0.025980479,-0.011765203,0.212681461,-0.436061616,0.011389092,0.011389092,-0.010574494,-0.212681461,-0.436061616,-0.011389092,-0.0233511,-0.010574494
8,122.4,0,-0.554472,0,-0.033933686,-0.013445946,0.243064527,-0.498356132,0.014875549,0.014875549,-0.012085136,-0.243064527,-0.498356132,-0.014875549,-0.030499395,-0.012085136
9,137.7,0,-0.623781,0,-0.042947322,-0.015126689,0.273447592,-0.560650649,0.018826867,0.018826867,-0.013595778,-0.273447592,-0.560650649,-0.018826867,-0.038600797,-0.013595778
10,153,0,-0.69309,0,-0.053021385,-0.016807433,0.303830658,-0.622945166,0.023243045,0.023243045,-0.01510642,-0.303830658,-0.622945166,-0.023243045,-0.047655305,-0.01510642
,153,-11.91112471,25.88450392,0,-0.053021385,-0.016807433,-85.00546841,18.04334462,0.023243045,-0.047655305,-0.01510642,63.59417246,28.48633141,-0.023243045,-0.047655305,-0.01510642
1,251.8,-11.91112471,25.43693992,-1.176819121,2.482257941,-0.02766086,-84.80926926,17.64107676,-8.365604995,1.715155111,-0.024861416,63.39797332,28.08406355,6.250168956,2.746922206,-0.024861416
2,350.6,-11.91112471,24.98937592,-2.353638242,4.973317943,-0.038514287,-84.61307012,17.2388089,-16.73506856,3.438221463,-0.034616411,63.20177417,27.6817957,12.50419648,5.501755653,-0.034616411
3,449.4,-11.91112471,24.54181192,-3.530457363,7.420158623,-0.049367714,-84.41687097,16.83654104,-25.08514765,5.12154375,-0.044371407,63.00557503,27.27952784,18.73883953,8.216845036,-0.044371407
4,548.2,-11.91112471,24.09424792,-4.707276484,9.822779979,-0.060221141,-84.22067183,16.43427318,-33.41584226,6.765121973,-0.054126403,62.80937589,26.87725998,24.95409811,10.89219035,-0.054126403
5,647,-11.91112471,23.64668392,-5.884095605,12.18118201,-0.071074568,-84.02447269,16.03200533,-41.7271524,8.368956131,-0.063881398,62.61317674,26.47499212,31.14997221,13.52779161,-0.063881398
6,745.8,-11.91112471,23.19911992,-7.060914726,14.49536472,-0.081927995,-83.82827354,15.62973747,-50.01907807,9.933046225,-0.073636394,62.4169776,26.07272426,37.32646183,16.1236488,-0.073636394
7,844.6,-11.91112471,22.75155592,-8.237733847,16.76532811,-0.092781422,-83.6320744,15.22746961,-58.29161926,11.45739225,-0.083391389,62.22077845,25.6704564,43.48356698,18.67976192,-0.083391389
8,943.4,-11.91112471,22.30399192,-9.414552968,18.99107217,-0.103634849,-83.43587525,14.82520175,-66.54477597,12.94199422,-0.093146385,62.02457931,25.26818854,49.62128766,21.19613098,-0.093146385
9,1042.2,-11.91112471,21.85642792,-10.59137209,21.17259691,-0.114488276,-83.23967611,14.42293389,-74.77854821,14.38685212,-0.10290138,61.82838017,24.86592069,55.73962385,23.67275598,-0.10290138
10,1141,-11.91112471,21.40886392,-11.76819121,23.30990233,-0.125341703,-83.04347697,14.02066603,-82.99293597,15.79196596,-0.112656376,61.63218102,24.46365283,61.83857558,26.10963691,-0.112656376
